pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
75,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,32770,2,120,RST,1526344333,170,4.90E-05,4.90E-05,0,,,4.90E-05,4.90E-05,4.90E-05,,,,,1,1,60,60,20408.16406,0,0,1,Reconnaissance,Service_Scan
76,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1065,2,120,RST,1526344333,171,3.90E-05,3.90E-05,0,,,3.90E-05,3.90E-05,3.90E-05,,,,,1,1,60,60,25641.02734,0,0,1,Reconnaissance,Service_Scan
77,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1081,2,120,RST,1526344333,172,4.00E-05,4.00E-05,0,,,4.00E-05,4.00E-05,4.00E-05,,,,,1,1,60,60,25000,0,0,1,Reconnaissance,Service_Scan
78,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,691,2,120,RST,1526344333,173,4.30E-05,4.30E-05,0,,,4.30E-05,4.30E-05,4.30E-05,,,,,1,1,60,60,23255.81445,0,0,1,Reconnaissance,Service_Scan
79,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1048,2,120,RST,1526344333,174,5.20E-05,5.20E-05,0,,,5.20E-05,5.20E-05,5.20E-05,,,,,1,1,60,60,19230.76953,0,0,1,Reconnaissance,Service_Scan
80,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,7911,2,120,RST,1526344333,175,3.30E-05,3.30E-05,0,,,3.30E-05,3.30E-05,3.30E-05,,,,,1,1,60,60,30303.0293,0,0,1,Reconnaissance,Service_Scan
81,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,13722,2,120,RST,1526344333,176,4.70E-05,4.70E-05,0,,,4.70E-05,4.70E-05,4.70E-05,,,,,1,1,60,60,21276.5957,0,0,1,Reconnaissance,Service_Scan
82,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,667,2,120,RST,1526344333,177,4.70E-05,4.70E-05,0,,,4.70E-05,4.70E-05,4.70E-05,,,,,1,1,60,60,21276.5957,0,0,1,Reconnaissance,Service_Scan
83,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8000,2,120,RST,1526344333,178,1.40E-05,1.40E-05,0,,,1.40E-05,1.40E-05,1.40E-05,,,,,1,1,60,60,71428.57031,0,0,1,Reconnaissance,Service_Scan
84,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,911,2,120,RST,1526344333,179,1.40E-05,1.40E-05,0,,,1.40E-05,1.40E-05,1.40E-05,,,,,1,1,60,60,71428.57031,0,0,1,Reconnaissance,Service_Scan
85,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5414,2,120,RST,1526344333,180,2.80E-05,2.80E-05,0,,,2.80E-05,2.80E-05,2.80E-05,,,,,1,1,60,60,35714.28516,0,0,1,Reconnaissance,Service_Scan
86,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,18040,2,120,RST,1526344333,181,3.90E-05,3.90E-05,0,,,3.90E-05,3.90E-05,3.90E-05,,,,,1,1,60,60,25641.02734,0,0,1,Reconnaissance,Service_Scan
87,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9002,2,120,RST,1526344333,182,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
88,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9102,2,120,RST,1526344333,183,2.10E-05,2.10E-05,0,,,2.10E-05,2.10E-05,2.10E-05,,,,,1,1,60,60,47619.04688,0,0,1,Reconnaissance,Service_Scan
89,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3851,2,120,RST,1526344333,184,8.00E-06,8.00E-06,0,,,8.00E-06,8.00E-06,8.00E-06,,,,,1,1,60,60,125000,0,0,1,Reconnaissance,Service_Scan
90,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8443,2,120,RST,1526344333,185,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
91,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,340,2,120,RST,1526344333,186,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
92,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,42510,2,120,RST,1526344333,187,2.10E-05,2.10E-05,0,,,2.10E-05,2.10E-05,2.10E-05,,,,,1,1,60,60,47619.04688,0,0,1,Reconnaissance,Service_Scan
93,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,50006,2,120,RST,1526344333,188,1.80E-05,1.80E-05,0,,,1.80E-05,1.80E-05,1.80E-05,,,,,1,1,60,60,55555.55469,0,0,1,Reconnaissance,Service_Scan
94,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,2041,2,120,RST,1526344333,189,7.20E-05,7.20E-05,0,,,7.20E-05,7.20E-05,7.20E-05,,,,,1,1,60,60,13888.88867,0,0,1,Reconnaissance,Service_Scan
95,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,7512,2,120,RST,1526344333,190,7.00E-05,7.00E-05,0,,,7.00E-05,7.00E-05,7.00E-05,,,,,1,1,60,60,14285.71387,0,0,1,Reconnaissance,Service_Scan
96,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,259,2,120,RST,1526344333,191,2.60E-05,2.60E-05,0,,,2.60E-05,2.60E-05,2.60E-05,,,,,1,1,60,60,38461.53906,0,0,1,Reconnaissance,Service_Scan
97,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3809,2,120,RST,1526344333,192,2.00E-05,2.00E-05,0,,,2.00E-05,2.00E-05,2.00E-05,,,,,1,1,60,60,50000,0,0,1,Reconnaissance,Service_Scan
98,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3301,2,120,RST,1526344333,193,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
99,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1085,2,120,RST,1526344333,194,5.50E-05,5.50E-05,0,,,5.50E-05,5.50E-05,5.50E-05,,,,,1,1,60,60,18181.81836,0,0,1,Reconnaissance,Service_Scan
100,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1117,2,120,RST,1526344333,195,9.40E-05,9.40E-05,0,,,9.40E-05,9.40E-05,9.40E-05,,,,,1,1,60,60,10638.29785,0,0,1,Reconnaissance,Service_Scan
101,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5862,2,120,RST,1526344333,196,9.40E-05,9.40E-05,0,,,9.40E-05,9.40E-05,9.40E-05,,,,,1,1,60,60,10638.29785,0,0,1,Reconnaissance,Service_Scan
102,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1073,2,120,RST,1526344333,197,9.40E-05,9.40E-05,0,,,9.40E-05,9.40E-05,9.40E-05,,,,,1,1,60,60,10638.29785,0,0,1,Reconnaissance,Service_Scan
103,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,2260,2,120,RST,1526344333,198,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
104,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5080,2,120,RST,1526344333,199,4.70E-05,4.70E-05,0,,,4.70E-05,4.70E-05,4.70E-05,,,,,1,1,60,60,21276.5957,0,0,1,Reconnaissance,Service_Scan
105,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3580,2,120,RST,1526344333,200,4.30E-05,4.30E-05,0,,,4.30E-05,4.30E-05,4.30E-05,,,,,1,1,60,60,23255.81445,0,0,1,Reconnaissance,Service_Scan
106,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8181,2,120,RST,1526344333,201,8.50E-05,8.50E-05,0,,,8.50E-05,8.50E-05,8.50E-05,,,,,1,1,60,60,11764.70606,0,0,1,Reconnaissance,Service_Scan
107,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8085,2,120,RST,1526344333,202,8.80E-05,8.80E-05,0,,,8.80E-05,8.80E-05,8.80E-05,,,,,1,1,60,60,11363.63672,0,0,1,Reconnaissance,Service_Scan
108,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,16001,2,120,RST,1526344333,203,8.80E-05,8.80E-05,0,,,8.80E-05,8.80E-05,8.80E-05,,,,,1,1,60,60,11363.63672,0,0,1,Reconnaissance,Service_Scan
109,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,10617,2,120,RST,1526344333,204,7.50E-05,7.50E-05,0,,,7.50E-05,7.50E-05,7.50E-05,,,,,1,1,60,60,13333.33301,0,0,1,Reconnaissance,Service_Scan
110,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9010,2,120,RST,1526344333,205,8.40E-05,8.40E-05,0,,,8.40E-05,8.40E-05,8.40E-05,,,,,1,1,60,60,11904.76172,0,0,1,Reconnaissance,Service_Scan
